Frame,0 axis,1 axis,2 axis,3 axis
0,-0.02879,-0.03261,-0.05388,0.02193
1,-0.02879,-0.03261,-0.05388,0.02193
2,-0.02879,-0.03261,-0.05388,0.02193
3,-0.02879,-0.03261,-0.05388,0.02193
4,-0.02879,-0.03261,-0.05388,0.02193
5,-0.02879,-0.03261,-0.05388,0.02193
6,-0.02879,-0.03261,-0.05388,0.02193
7,-0.02879,-0.03261,-0.05388,0.02193
8,-0.02879,-0.03261,-0.05388,0.02193
9,-0.02879,-0.03261,-0.05388,0.02193
10,-0.02879,-0.03261,-0.05388,0.02193
11,-0.02879,-0.03261,-0.05388,0.02193
12,-0.02879,-0.03261,-0.05388,0.02193
13,-0.02879,-0.03261,-0.05388,0.02193
14,-0.02879,-0.03261,-0.05388,0.02193
15,-0.02879,-0.03261,-0.05388,0.02193
16,-0.02879,-0.03261,-0.05388,0.02193
17,-0.02879,-0.03261,-0.05388,0.02193
18,-0.02879,-0.03261,-0.05388,0.02193
19,-0.02879,-0.03261,-0.05388,0.02193
20,-0.02879,-0.03261,-0.05388,0.02193
21,-0.02879,-0.03261,-0.05388,0.02193
22,-0.02879,-0.03261,-0.05388,0.02193
23,-0.02879,-0.03261,-0.05388,0.02193
24,-0.02879,-0.03261,-0.05388,0.02193
25,-0.02879,-0.03261,-0.05388,0.02193
26,-0.02879,-0.03261,-0.05388,0.02193
27,-0.02879,-0.03261,-0.05388,0.02193
28,-0.02879,-0.03261,-0.05388,0.02193
29,-0.02879,-0.03261,-0.05388,0.02193
30,-0.02879,-0.03261,-0.05388,0.02193
31,-0.02879,-0.03261,-0.05388,0.02193
32,-0.02879,-0.03261,-0.05388,0.02193
33,-0.02879,-0.03261,-0.05388,0.02193
34,-0.02879,-0.03261,-0.05388,0.02193
35,-0.02879,-0.03261,-0.05388,0.02193
36,-0.02879,-0.03261,-0.05388,0.02193
37,-0.02879,-0.03261,-0.05388,0.02193
38,-0.02879,-0.03261,-0.05388,0.02193
39,-0.02879,-0.03261,-0.05388,0.02193
40,-0.02879,-0.03261,-0.05388,0.02193
41,-0.02879,-0.03261,-0.05388,0.02193
42,-0.02879,-0.03261,-0.05388,0.02193
43,-0.02879,-0.03261,-0.05388,0.02193
44,-0.02879,-0.03261,-0.05388,0.02193
45,-0.02879,-0.03261,-0.05388,0.02193
46,-0.02879,-0.03261,-0.05388,0.02193
47,-0.02879,-0.03261,-0.05388,0.02193
48,-0.02879,-0.03261,-0.05388,0.02193
49,-0.02879,-0.03261,-0.05388,0.02193
50,-0.02879,-0.03261,-0.05388,0.02193
51,-0.02879,-0.03261,-0.05388,0.02193
52,-0.02879,-0.03261,-0.05388,0.02193
53,-0.02879,-0.03261,-0.05388,0.02193
54,-0.02879,-0.03261,-0.05388,0.02193
55,-0.02879,-0.03261,-0.05388,0.02193
56,-0.02879,-0.03261,-0.05388,0.02193
57,-0.02879,-0.03261,-0.05388,0.02193
58,-0.02879,-0.03261,-0.05388,0.02193
59,-0.02879,-0.03261,-0.05388,0.02193
60,-0.02879,-0.03261,-0.05388,0.02193
61,-0.02879,-0.03261,-0.05388,0.02193
62,-0.02879,-0.03261,-0.05388,0.02193
63,-0.02879,-0.03261,-0.05388,0.02193
64,-0.02879,-0.03261,-0.05388,0.02193
65,-0.02879,-0.03261,-0.05388,0.02193
66,-0.02879,-0.03261,-0.05388,0.02193
67,-0.02879,-0.03261,-0.05388,0.02193
68,-0.02879,-0.03261,-0.05388,0.02193
69,-0.02879,-0.03261,-0.05388,0.02193
70,-0.02879,-0.03261,-0.05388,0.02193
71,-0.02879,-0.03261,-0.05388,0.02193
72,-0.02879,-0.03261,-0.05388,0.02193
73,-0.02879,-0.03261,-0.05388,0.02193
74,-0.02879,-0.03261,-0.05388,0.02193
75,-0.02879,-0.03261,-0.05388,0.02193
76,-0.02879,-0.03261,-0.05388,0.02193
77,-0.02879,-0.03261,-0.05388,0.02193
78,-0.02879,-0.03261,-0.05388,0.02193
79,-0.02879,-0.03261,-0.05324,0.01692
80,-0.02879,-0.03261,-0.05324,0.01692
81,-0.02879,-0.03261,-0.05324,0.01128
82,-0.02879,-0.03261,-0.05327,0.00627
83,-0.02879,-0.03261,-0.05327,0.00627
84,-0.02879,-0.03261,-0.05327,0.00627
85,-0.02879,-0.03261,-0.05327,0.00127
86,-0.02879,-0.03261,-0.05327,0.00127
87,-0.02879,-0.03261,-0.05327,0.00127
88,-0.02879,-0.03261,-0.05327,0.00127
