Frame,0 axis,1 axis,2 axis,3 axis
0,0.00002,-0.00002,-0.06770,0.00706
1,0.00002,-0.00002,-0.06770,0.00706
2,0.00002,-0.00002,-0.06770,0.00706
3,0.00002,-0.00002,-0.06770,0.00706
4,0.00002,-0.00002,-0.06770,0.00706
5,0.00002,-0.00002,-0.06770,0.00706
6,0.00002,-0.00002,-0.06770,0.00706
7,0.00002,-0.00002,-0.06770,0.00706
8,0.00002,-0.00002,-0.06770,0.00706
9,0.00002,-0.00002,-0.06770,0.00706
10,0.00002,-0.00002,-0.06770,0.00706
11,0.00002,-0.00002,-0.06770,0.00706
12,0.00002,-0.00002,-0.07478,0.00706
13,0.00002,-0.00002,-0.07478,0.00706
14,0.00002,-0.00002,-0.07478,0.00706
15,0.00002,-0.00002,-0.07478,0.00706
16,0.00002,-0.00002,-0.07478,0.00706
17,0.00002,-0.00002,-0.07478,0.00706
18,0.00002,-0.00002,-0.07478,0.00706
19,0.00002,-0.00002,-0.07478,0.00706
20,0.00002,-0.00002,-0.07478,0.00706
